FIPS,CBSA
12061,42680
12055,42700
29159,42740
42109,42780
01047,42820
45073,42860
36099,42900
47155,42940
18071,42980
55078,43020
55115,43020
40125,43060
55117,43100
37045,43140
47003,43180
53045,43220
56033,43260
48181,43300
04017,43320
22015,43340
22017,43340
22031,43340
39149,43380
04003,43420
29201,43460
35017,43500
19193,43580
31043,43580
31051,43580
46127,43580
46083,43620
46087,43620
46099,43620
46125,43620
48415,43660
21199,43700
42111,43740
06109,43760
18141,43780
26027,43780
45083,43900
46081,43940
19041,43980
19059,44020
53063,44060
53065,44060
17129,44100
17167,44100
25011,44140
25013,44140
25015,44140
29043,44180
29059,44180
29077,44180
29167,44180
29225,44180
39023,44220
28105,44260
28155,44260
42027,44300
13031,44340
51015,44420
51790,44420
51820,44420
08107,44460
48143,44500
08075,44540
17195,44580
55097,44620
40119,44660
06077,44700
19021,44740
26149,44780
48223,44860
13055,44900
45027,44940
45085,44940
42097,44980
06035,45000
48353,45020
36053,45060
36067,45060
36075,45060
40021,45140
01121,45180
12039,45220
12065,45220
12073,45220
12129,45220
12053,45300
12057,45300
12101,45300
12103,45300
35055,45340
17021,45380
18021,45460
18121,45460
18153,45460
18165,45460
18167,45460
05081,45500
05091,45500
48037,45500
41065,45520
12119,45540
13293,45580
13275,45620
39147,45660
13277,45700
13257,45740
39051,45780
39095,45780
39123,45780
39173,45780
20085,45820
20087,45820
20139,45820
20177,45820
20197,45820
09005,45860
26019,45900
26055,45900
26079,45900
26089,45900
34021,45940
01109,45980
06057,46020
04019,46060
47031,46100
47051,46100
47127,46100
40037,46140
40111,46140
40113,46140
40117,46140
40131,46140
40143,46140
40145,46140
28057,46180
28081,46180
28115,46180
28117,46180
01063,46220
01065,46220
01107,46220
01125,46220
16053,46300
16083,46300
48423,46340
06045,46380
45087,46420
47131,46460
39021,46500
15003,46520
36043,46540
36065,46540
48463,46620
13027,46660
13101,46660
13173,46660
13185,46660
06095,46700
39161,46780
46027,46820
49047,46860
48487,46900
28149,46980
48175,47020
48469,47020
13209,47080
13279,47080
18083,47180
34011,47220
25007,47240
37029,47260
37053,47260
37073,47260
51073,47260
51093,47260
51095,47260
51115,47260
51175,47260
51199,47260
51550,47260
51620,47260
51650,47260
51700,47260
51710,47260
51735,47260
51740,47260
51800,47260
51810,47260
51830,47260
06107,47300
18169,47340
48145,47380
48309,47380
27167,47420
38077,47420
53071,47460
39011,47540
13153,47580
13225,47580
42123,47620
29101,47660
18085,47700
18027,47780
37013,47820
